accountid,balanse,currency,userid
73962837947,893014.72,4,4541521253
99877044813,617321.22,1,3340706613
74924170432,372992.1,2,6677325321
83864931386,942147.70,2,5009515726
54513395109,230478.23,2,6067806363
87821015966,869131.9,3,7890890298
29606968205,374334.25,1,5788609663
61462664900,380526.53,4,9475005829
81392204980,391302.57,1,6644613120
11804342226,733390.96,1,3165940743
24794122016,643178.52,4,6719022217
77548768623,272074.22,2,7558898308
19027911584,786353.65,3,5364662704
53607824695,406228.44,1,2592187960
59526558842,357505.90,4,3265203360
89812175891,629606.1,4,6449369482
47502508705,328865.50,4,1491810574
82087337372,727976.45,3,7785365987
72859573184,626774.7,4,1464370810
68953234520,977965.61,2,2438082901
50423311795,548663.84,1,9552453163
82267789733,962668.20,1,1344626851
43520237036,963318.20,2,7559226399
21228348724,30813.37,3,8360097585
20582639778,812970.37,2,5091164847
54990065131,645611.64,2,8710952919
65557720067,814905.84,3,8417653536
15150871196,308122.18,3,3111547272
26455785543,293583.70,3,6725263652
12767471095,561375.36,2,8283711541
57734165724,665758.17,2,3390434469
69455216042,228617.13,2,4400709944
59324336888,98679.45,4,1800090948
28695978451,932935.43,2,5822116571
32276147404,28127.61,1,1743810223
69598303065,138772.22,1,8308852217
63108804450,906138.57,1,8144085996
66444132758,145187.47,2,8339149186
59284770818,979889.89,2,7510819753
15051106591,673754.71,4,2846661411
98372810061,680859.3,4,7826024435
83651855366,154932.80,4,9058987370
89647383439,510377.83,3,8656834636
56412902740,802773.44,3,7886561536
72650697746,462398.76,1,3756791486
37853634156,602833.25,1,6881451636
31258058365,702688.80,3,1257653784
55964289051,527351.90,3,6374111965
98175852609,776252.2,1,9819572471
39424604248,349093.80,4,9328660558
25272617697,448985.62,1,4960293909
97252842380,46809.86,4,2556397094
81779084702,989628.12,3,6444718394
37364759632,327151.9,4,8006276959
13796828219,17772.15,2,4648745991
71569301182,168420.17,3,9554908850
20214872842,622166.29,4,8631395855
12456707373,14574.95,2,8505715361
55765238019,401136.42,1,3214745310
96887655695,394566.44,3,6223256811
45161775731,105414.74,2,4866792130
70346720552,958791.65,2,1382775666
95276114113,411502.74,4,4718440826
14395044371,691501.68,4,7754380278
27009291313,590420.1,2,5699412331
21493702247,545658.26,4,1252868745
48380170885,392441.64,1,1934013096
14948230635,963949.54,2,9576690316
37699840087,58246.12,3,1189250014
86998155721,475466.54,3,3194912349
22103554043,286340.52,2,8076905777
48403586692,183984.26,2,1644648280
42599805976,430686.40,1,9725642882
56830530706,268596.23,1,7626098848
14240094061,308385.68,2,3384589884
10381792428,46787.2,2,1122117523
86716519658,10016.67,1,3160830877
62761094575,613218.24,2,7355697822
37531947701,355267.51,2,7785229140
81774936593,236689.9,4,1719710604
46677872546,755299.57,4,1507134505
48113579569,888569.76,3,1879288480
81403599534,247975.61,3,7839188744
15296314514,646767.81,2,1436982565
17327046330,869771.14,1,8570026145
98649905057,857447.28,2,7967006382
25891316297,312880.36,3,2460299995
18231633928,50713.42,1,1750851637
79873712623,593858.47,4,7691627005
36573443452,593284.16,4,7181105064
45878574571,599718.50,4,1198944340
31340581971,323742.22,4,9559158677
84305356359,543617.99,2,9007319381
43757909425,344786.18,1,1486909349
53445919474,479199.95,4,1798915851
66385107916,302858.90,4,7582445289
79318455190,347293.29,4,8377707435
29472721645,939572.70,1,5955682873
71747020650,592985.2,4,1953284282
14567141902,868432.86,4,9452411221
21867916406,375868.11,1,5033975101
95475479755,242689.10,1,4346722908
33105619459,387629.9,4,8329198301
36429211492,934064.85,3,6506539861
56627096854,449388.14,4,5358865602
28878516827,30939.70,3,3209303333
53556603342,767791.18,3,9511597946
41895720947,629614.70,3,2369002373
88935596164,1929.58,4,8097749681
44900868715,939249.11,1,6563955992
96085087867,435937.47,4,1658600961
39241807191,803987.57,1,9012083391
40578755655,473391.77,2,5043402566
50802650608,717630.22,4,5285438714
73626730967,649320.89,3,5178979505
56954139367,839026.90,3,9366001919
86014121768,963179.85,2,6194615308
76418859081,264320.68,1,6609651865
73404389329,966.12,2,6627323717
49565441912,135645.29,3,2615166050
97222410251,929967.14,3,8639525462
57213252316,236485.10,4,1010895335
64475413412,878546.7,2,9101659901
96712779625,912285.3,3,8045496380
24345867571,253644.74,1,1020308925
71596639251,284837.14,3,6420149907
77965446098,472119.53,3,7986391700
45669272045,878212.2,2,3783693334
57666740265,24965.83,3,5897861007
55679466147,481365.81,4,4816276951
61081941501,501806.58,4,6807725111
25354571404,889089.14,3,1913015497
64661707149,467636.78,3,9708630796
75865211396,85823.1,1,4091332865
87725691433,241462.71,2,2621942338
35391440948,951009.50,3,5562242872
15573533740,326093.98,3,6689555226
34924346932,863526.48,1,4731925217
41451540440,296091.85,1,8336936593
45582953704,783776.50,1,3737882521
67614726297,674967.72,1,3156354902
37439954143,468618.62,1,2504391613
37478122882,54071.7,4,1588630367
29369389641,65207.22,3,6265200954
67212685279,463357.40,1,9514021992
49114844777,433213.3,1,6282990310
80262775546,761718.14,1,4857386791
77347882277,131616.72,1,6919689599
60556743903,535234.17,4,3436925103
31930874795,774653.42,2,4984790088
68834223848,956399.25,2,7027501662
31148436519,720840.53,2,1299032659
58219027125,591005.45,1,3009902578
57132006498,770093.75,3,7506390123
72951454010,82364.50,3,4170574061
14056221025,112769.64,4,7224842782
78110960498,41482.64,2,6873933002
90527548769,409483.55,1,3458063252
25964178277,578996.0,1,6770421120
35714483541,363204.96,2,4729782984
73063422248,302863.83,3,6368699815
61992746621,454798.21,2,5728863262
52666515362,675995.88,4,4431264680
78919397400,990266.26,2,8197429875
44485964576,888800.13,3,6370138326
87541736822,511867.96,4,5056091332
64327577586,167629.58,3,5309417894
50724052606,107392.26,1,5331762159
58269079301,161599.13,1,3531111819
83396615687,294956.43,3,6585630170
44652375149,548346.94,2,3094913140
18959281845,165617.68,2,8260260254
95560404718,51081.23,1,3794447155
27469080480,802388.9,3,8808250612
15941001009,357258.26,3,6045855941
19559843203,243640.66,1,3823301888
85350077269,149855.43,4,4482552981
86577420829,558026.69,4,5926974705
55913213353,495171.34,3,8134954437
42288359185,939738.34,3,1787041462
49715954559,271850.29,4,6447811017
22072487515,329898.29,4,3291883061
57738297546,391608.5,3,7895270201
63161745822,167580.90,3,7841486085
36229212006,362753.99,1,2735389185
52758787917,596823.40,2,1524792809
35630363647,430.59,1,9508880121
55145780110,362989.97,2,8967546951
50255417853,419144.79,2,1822372624
73644012936,239897.15,1,5974045269
73615000373,156255.15,3,1944421264
93751737446,589495.3,4,9430028171
57093336378,693499.30,2,2806748887
41782320440,66813.43,2,2974693441
93283535855,339392.8,2,7260038483
17354316953,672869.91,2,9319442648
54343601898,296020.42,4,4887501450
49668598679,596932.56,2,8546769450
46284269980,709455.85,2,1520422166
28454726903,589575.30,1,1327086872
47808782457,362238.21,1,9535310887
22417721041,545212.90,3,2928413499
47709614471,449233.72,3,7524438075
59744572774,524039.5,3,7204116957
69239433081,230963.27,3,8237973170
20083449220,43487.7,3,6430698642
42226885324,834397.12,4,2786282728
78199553089,748082.82,4,3529290738
65496615306,131253.95,4,1651370888
65821031410,228648.28,1,2629453593
46513555467,704210.69,4,8266932081
68319914903,632929.16,4,3826049208
73832714819,575337.17,2,9264727277
36907019641,151939.78,3,5494269601
66298660468,987496.62,2,7184511992
43889622074,779837.50,2,4201373675
20011115406,889870.41,2,2265909365
80123072841,493076.9,1,5709458818
60367797176,678361.52,4,9751233017
63715502761,843404.27,4,2756097786
19352840419,991022.60,3,2592470978
18401260537,478803.49,1,1964931847
98076357283,223649.0,1,7696847024
32771924885,125405.84,2,6636743323
34608068978,410537.67,2,7369205493
85017427594,715137.81,3,8203741667
70733224116,895315.90,2,4301272048
10754915234,150283.82,3,8511555460
25244987577,877638.51,4,3986096797
76756023063,484909.3,1,8662767569
91120269331,843181.6,2,7823396567
37764734076,683247.96,1,1115848429
55686133318,733126.86,1,3665130314
84497318337,798645.8,3,3270555856
95106211314,802127.20,2,8570026145
48797892892,944116.64,2,4731225840
65129269122,610147.99,2,9252166162
37289413652,816060.6,2,3085582655
51924157171,600987.63,1,3614779689
98016268057,814287.75,1,1086767753
62372131682,394203.26,2,5876080072
97480886024,850416.85,2,4301272048
33218767894,576360.73,1,8076198764
27015281653,515166.64,2,9756574328
30873823974,879905.45,2,2716192620
26912180920,497929.66,3,7095017021
29212447688,558731.59,3,9690766577
74098627901,101516.14,1,2645219929
25100111082,728967.69,1,5879460127
72755254192,340234.1,3,3683608421
58179015238,155987.14,4,9338360597
48340554849,171480.67,4,1284435596
79826511372,533685.47,1,3565344427
25799088727,671294.91,2,5642168794
86448108778,132979.72,1,8246395788
11585279343,749413.17,2,3989537303
57490905666,399418.69,3,1827231587
52599228735,537699.58,3,7539898299
62475537529,170439.86,2,2377628931
14435210703,409979.15,1,3886337955
95388751717,851898.6,2,6801727005
35577466305,465976.39,2,1134357510
12439763249,81764.12,2,3696403684
89033252698,500329.27,1,8297692257
97150778624,959199.52,3,1327732457
98687173385,445004.35,3,8990695679
86784426377,926463.33,3,9765664126
21198103918,340923.82,2,2059584806
33398739201,427418.13,4,9783828833
81469452825,861301.38,2,6641551409
29113894969,448448.17,1,1482186037
26793073700,66246.79,1,6149514020
98383075652,639095.72,3,4875490755
16365263422,905833.56,2,1923555432
24750754043,141075.85,3,2051994648
23043946494,378797.84,2,9693823319
87046118772,956071.44,3,2761826804
29720598430,478076.22,1,8782747058
46509310335,358654.93,4,6746296987
24648409860,379110.98,4,2732292475
74913339667,37500.41,1,8643711789
12782724185,474574.33,4,4127794291
57138685233,669697.35,4,3304792793
76168406442,855986.65,2,5734593501
11007752649,951616.76,4,2561310614
91887871299,255775.39,3,4044334409
55038329948,626071.13,1,6804076296
47430961605,201198.94,4,8853870315
47124395102,106371.33,4,9002155035
61923100839,676491.66,2,1316360382
61698853185,586407.18,4,6511003238
33558966480,209590.30,1,2900045025
51761065161,703934.53,3,3171741465
11554426843,709428.93,3,2662654948
15501668876,116022.61,4,8796068786
55803094277,202078.88,2,7460144944
48571243170,696216.23,4,2198446493
13557989604,397180.26,1,3560343394
64629823869,451284.81,1,7167962158
49219998394,91144.7,1,4365510700
67240652462,114404.9,4,6535312897
61871205325,85570.85,1,5211889150
89481408576,105808.11,3,7050122189
93363389399,891175.16,4,9026079668
67996010258,439446.42,3,2947905525
23931008851,677818.24,1,5514659327
30343604151,925922.43,2,4514598302
40160456359,533127.76,4,7949321897
16889588486,570745.15,4,5262403037
86166568869,821095.4,3,4473117488
41830069204,144255.21,4,2254476167
78136215470,348640.36,1,1721380605
80059865702,238295.11,2,7568870254
54228300828,663139.72,3,4703020829
57485734562,117120.42,3,2794555499
65950948485,265945.93,1,6328682902
32322507548,677260.19,1,2581675208
42897165464,577908.65,3,4710971287
81788782553,515580.24,2,1677156172
32067470654,723334.23,2,4639055026
53441018461,518116.92,2,9834788945
33776457871,622724.19,4,2279534203
43181791246,359249.0,4,4993983206
86273215885,481994.93,3,6918846742
51489288602,536277.80,1,2229282241
32519481859,948680.67,3,1140915746
80362341478,325087.66,1,4700239081
52244935471,363684.55,4,9349302105
56276975303,291456.91,1,3117302645
46096289845,879849.67,4,4804865091
65701579315,215605.76,2,7300993993
34212614020,227573.72,2,3892585085
55280369666,864185.2,2,1760781491
74985339984,424754.83,3,8925673085
91857870952,623340.88,4,4381297052
18288428549,924357.23,1,9396046580
10841798716,986093.1,2,2643110955
18263747717,435234.46,2,6027826864
51674983617,826537.65,2,9561166785
34379154597,567025.7,3,9527510696
34898900593,768439.96,4,1064865503
86710990909,783311.8,2,9046888718
98634401735,842378.19,3,8771575623
19535503756,973561.40,1,7732242617
57171302923,185346.14,2,2817739649
72363035007,806754.8,2,7163234347
74809860757,773121.17,1,3503168818
34275051850,119807.88,3,6280826000
75938502846,6746.15,4,9343923046
74542047747,432046.95,2,4444247700
38385395928,7274.76,4,6280826000
95043616333,473279.73,2,1964931847
66841551268,140807.34,2,2608213619
19352815431,657101.29,3,6907163142
14046939507,599772.51,2,3972657095
18839871536,584877.46,4,2280329242
56150134488,313532.36,1,7951096651
12507825320,913251.23,3,4362581798
99200923284,913115.67,3,4228105184
39719121992,45461.23,4,7648573377
98845407822,306935.39,3,2015199026
45783821791,4683.21,1,1996451981
44244533428,170181.3,3,1740024362
74652606461,468306.95,4,8536891875
50043647843,54633.99,1,4543315026
48709440533,428566.30,4,3042009980
85581627777,564555.40,2,3648010762
25168552145,562610.6,3,1053043279
92126075100,222417.40,2,8366593093
86522811205,267793.76,1,1703972614
43409764487,585156.58,1,5261750057
33791711937,622151.38,1,9840891755
18229786894,632610.8,1,6780243809
89099958141,656204.17,3,7836839974
12104934218,436431.16,4,3299237174
70816177045,157573.38,4,8601311840
60599313457,864318.14,3,8955878918
31892099317,860523.25,2,9186845348
17004886505,708395.70,1,9057425129
24610025942,719143.20,2,2222535655
76373796470,541463.37,1,4391705311
94220031580,826105.3,1,6983609374
36300184669,813624.67,2,2859034882
76876078891,769023.16,1,6295145170
66418809028,284133.63,2,8966447344
91091559417,808330.13,3,2091409106
45863212083,201151.28,2,2717271466
29804604923,954988.8,2,3031717951
98703380296,282056.45,3,6705032252
28533266646,419566.43,1,2631632681
83157001861,60214.35,2,9046311380
48657560316,685310.90,2,3760399643
74422812056,405724.6,4,4704318987
19578952559,269538.46,2,4444915569
54573512218,517608.87,2,6640228898
47117868607,388335.68,2,2794054941
36211237560,505145.3,1,1342878056
24553083150,163901.16,1,3083174293
68184961108,542728.69,2,5462584185
47323294800,361290.79,2,5599131191
29142424090,394764.47,1,2834535820
56267171721,963097.53,1,7597929296
71778544529,211410.88,3,4048028061
49552243954,871872.40,3,9986108002
14486634505,291084.60,3,2921431505
16010307974,858422.47,2,8944637074
11741407118,591210.19,4,1341322529
23972727031,446091.80,4,9668085675
86443854719,56968.89,1,2367222937
59470713384,721445.68,1,4026170538
46103529860,510675.19,2,7206935143
17226540172,559113.18,2,9412254891
54674767689,483438.57,2,2427307503
75492711564,810606.68,1,5573343829
70350525078,816506.52,4,4662840112
38861382097,592232.94,2,6246347374
36390821537,654471.61,2,2198446493
85821507123,330638.91,3,6588542942
78604601953,454991.67,4,1857835589
99223331456,675643.86,3,1607345019
17671004670,540408.62,3,7254724018
44465811812,561501.76,4,6603978917
86359539779,643391.69,1,3583166958
57295789417,927324.91,4,7270787671
50578885266,357340.66,4,1520845673
26058212005,646494.4,4,7753957533
12728929194,593494.44,3,2137298440
42810655048,669033.56,1,2878961657
97724884773,837279.48,3,9693823319
80430245039,802681.78,1,9430028171
76993864461,77104.72,2,1567721687
99436398931,651238.61,3,1050917390
33564585400,283439.72,3,3172326174
99886853354,314547.44,4,1461135441
79705549892,891684.79,3,9101659901
51370732916,857636.82,1,7344900510
28677260637,206207.28,3,5203508440
36093312428,496252.36,4,7523544495
64547682279,402617.51,3,4294926457
19671153344,770185.6,4,3029583274
24504876866,925027.85,4,8356707309
13667274626,107863.71,1,2251043644
63189855561,663540.18,2,9315490768
11125584907,210729.52,2,5388887122
57885607318,118761.87,1,2136861115
42726974821,415845.14,3,2877001653
61404912598,358244.46,2,9102905345
83134280399,429526.99,2,5777767498
77942928335,816972.1,3,3222325848
29155321773,461299.1,3,9104399568
88642252222,530690.43,4,8148197097
80916988191,452290.40,3,1291528772
64239854433,790558.80,3,5803479762
63702976780,231027.49,3,3639488366
44870368816,183710.1,1,6810399448
76039876906,256535.26,4,5970424237
53644658412,462878.70,4,5701484357
71522009561,577627.33,1,9841665916
29542828618,835441.15,1,5229127302
99126209520,50838.16,1,1272087196
16630417024,631431.86,4,1428192793
39463413096,240875.27,1,7370660546
81097870073,633375.84,1,5134919397
53409631908,46662.66,1,8360928246
20398951452,666329.57,2,4125547534
33997552534,426513.9,2,9350008024
81584959584,470689.80,4,3604792180
10298291854,285705.80,2,2036203585
21544817956,376477.6,2,2794568265
82381260200,32050.21,2,2107137086
24808594933,727311.35,2,7449974923
23030500634,773330.98,3,2429322874
74519198177,233207.51,4,1532602299
36480393442,510178.64,3,2530272567
17086568406,34645.58,1,1711342003
84929239632,140137.24,4,8735181281
52297383765,699158.16,4,3262364085
49291725576,485433.7,4,1938623855
88723039476,692310.90,3,7280918880
37682413411,31041.12,3,2036203585
90689389543,831683.4,3,4492055580
80632471041,922020.15,2,5578133016
56171918598,802395.91,2,4647053454
96457120651,860138.19,4,3341399535
50944640857,444169.59,2,5850998280
89548717657,399059.56,1,2979872696
87287458880,756961.86,3,4706178460
76914221902,664221.51,2,2490419327
50207330969,4902.36,3,3039503009
13498151829,396534.39,3,9970354052
82093072580,390833.75,1,1816383444
80240700592,485241.29,2,7238442775
90891555951,923774.24,4,8003493733
70221594140,347046.83,2,9101659901
67014040430,519833.36,2,2424126638
35098678855,262042.27,2,6803351322
17023931195,158480.15,3,5245148294
52188609400,89775.61,3,3447151964
58642022669,513332.67,4,3689089855
92814422433,19873.81,1,3326835643
57340197241,492539.46,1,4583213458
21966687848,944363.62,4,6226780041
10428696609,334471.30,3,5077402522
75301308274,744373.58,1,9512071761
27760941225,446538.73,1,6141992445
75170405562,651656.87,1,4196418265
29072512759,495699.14,4,6567965907
90269400112,441843.16,1,5153091665
36713110393,960997.64,2,5242267926
20134007075,225398.94,4,1793217609
15515451754,278257.94,4,3113055466
44396915650,143198.43,2,5205455272
99457485397,415294.49,2,8283711541
96069019712,925885.4,2,2886447620
28533378941,948661.47,3,9299559845
10552095215,568924.30,3,5480594356
10592579163,327127.51,4,5566714481
48580784547,194480.33,1,6169338853
41551792390,129757.41,3,9020768110
42847037208,163598.8,3,1658600961
83435587610,527262.12,2,8161696456
37154155318,572500.18,2,7081208493
48972490880,101603.89,4,8489968489
11040995267,815750.23,4,4289481709
96843216231,846325.68,4,2936327248
91721569272,119299.35,4,2466038727
37480377608,59114.45,1,7254724018
47036594656,92499.43,2,2549274842
36997715365,63641.97,3,6492050557
64901875890,758275.80,2,7446315668
17156808944,295310.35,2,3492855740
85411478290,923728.62,3,2831562305
31374548093,513478.66,4,1251846764
95237472124,967984.50,4,5985690900
93540237864,805260.75,4,1268893631
91481540467,109451.2,1,5407045678
90321504144,573407.26,2,9438058866
61375759938,527680.79,1,1782927920
61429192700,400505.37,3,4622845479
26927228174,676166.74,3,1076476638
95392103295,129417.41,1,7199404111
17096653806,146952.80,2,9911629364
83664432462,979327.74,2,7128645234
21440137901,582413.81,3,2608136540
35919691425,791497.4,4,7072267162
27991125355,479203.26,3,2232214482
96197051362,124976.1,2,4847879218
47506763149,50778.40,2,2004981166
64206410754,912636.83,3,2507015033
75445632471,423690.49,3,4645688182
77128365670,660311.76,1,8127226963
15741105853,106010.60,3,1578418260
47538254617,357790.30,4,8412894318
56358407176,327854.78,1,7488353304
74705805510,791579.42,4,2306414208
58545170202,585361.94,3,7064835231
37053578985,966879.38,4,5054969829
63490679655,198476.23,1,1478381394
57074002263,611317.65,2,5028677239
46047925604,209450.39,3,5972599145
35691158698,939463.13,3,6156081396
76620528890,921486.29,3,1793217609
32207337191,883933.45,4,5575986103
11062565521,257119.74,1,6269909461
12323353564,439392.28,4,2798321826
23357598801,756082.10,4,2917566363
13331340868,556683.29,1,2045061576
86105964626,393555.33,1,1361307761
92966604012,256082.13,2,2665853819
18207737064,595021.99,2,7376821764
32389200786,207467.81,3,8547834013
50056282761,180491.5,4,4158664288
96232325564,770035.36,1,1660982751
77634946108,237621.96,4,6482199139
60393924185,922421.91,3,9243715539
94006908701,24391.52,1,6143378132
19456715303,793913.32,2,7235056986
73560369508,899991.90,1,2453973040
48336637929,20815.16,3,8581526931
42959930639,173026.40,4,7793350732
51413806348,455915.64,4,6726714669
99657955590,329601.67,4,8860936853
50033430266,405779.34,3,8366823124
26792468198,142051.9,3,9431785356
35826832190,17811.76,3,6737547980
94456573658,652160.12,1,6828716780
33043042688,722789.90,4,6497994158
27891749715,905770.31,3,4647053454
77221866003,937003.36,3,9666768668
93886531892,350463.59,4,7691833231
65075051476,875334.77,4,2625931045
22241886914,623740.96,1,1810421079
41134178899,556396.26,3,5441243614
74646432597,21640.80,3,9338360597
30533757386,49195.66,1,4994796910
13418128743,290406.57,1,5542602335
75566106863,938682.31,4,7577167353
67751574707,530166.52,2,2428943118
42175212048,89553.60,1,3211622269
94209046830,648236.19,1,7851360439
56337327885,210331.46,4,6119432864
21396118754,44278.79,2,2496154272
19728977246,17279.81,3,2265382968
60013596040,314864.35,2,6643635103
77311008383,3149.60,1,8933080872
34152431674,606940.96,4,6600923736
44161628929,255518.63,2,7357405090
63762228028,526508.69,3,9694735327
47052476414,211201.69,2,5694941964
63884045871,402198.56,4,9724794236
57192965692,791915.72,1,8712609119
37331331972,500917.38,2,3114380187
15911020124,922069.99,1,1359313419
16024857367,524550.13,2,8521844152
20502826345,662568.4,2,2738636210
53873815766,280467.27,2,5025834086
50345523734,410911.93,1,8771795164
30869744195,798351.68,2,2291174862
39924992953,750758.93,2,7050281175
67781171355,824962.64,1,9007319381
26736373492,625545.64,2,7362927264
17194211069,984665.9,2,1442343116
99354434582,137190.45,2,5459207019
27293078749,538091.36,1,3135620473
26190389396,52792.40,2,4029816126
32576917491,375945.22,3,8120808133
10301821479,516864.32,3,1401788287
96251309716,839647.88,1,6082680432
58639993285,949078.68,2,6150067010
63388474482,282305.95,2,4505744539
61847418678,47281.26,3,7035193690
44777660640,709123.85,3,8312955304
11092320391,454022.27,4,4978309768
71959511953,614152.59,3,3388679728
69228714270,29149.55,3,8308707249
75911764503,44883.35,1,2226797109
57906930573,301613.3,3,7013540311
14089807114,309837.76,4,8129646687
18119689772,596805.93,4,8477744398
32270340459,347478.27,3,8103360451
95235773940,122049.7,3,1202815146
77232979995,27359.99,2,9810625077
83753081011,291749.43,1,5495351388
43541556963,532564.67,1,5002343329
18549264712,71419.97,4,5210350861
66335650241,902634.56,3,1815793228
75177616584,862080.62,3,6122386032
63592950504,211828.90,1,2645752414
87284662406,540435.36,3,1979903311
62152501465,507827.73,3,1549923793
34607252032,344808.20,4,3519085347
67731801347,719652.37,3,8049189824
50871860857,594247.59,1,8034744666
44935753441,726335.71,1,7660293509
61008273892,983058.58,2,4022818951
84078573395,170680.39,3,7420569637
70501165737,652772.82,2,6538287293
18113589604,437562.80,4,2194413451
23397069458,857978.69,2,7951819663
38364201247,104302.34,3,2738737014
86574644553,709886.31,4,3481630235
66707311118,874901.59,2,6840372091
48169695267,131056.5,3,4177636495
84484428302,280193.98,4,4020004215
92881763131,940150.18,1,6883612706
89660488574,565932.44,4,9092581930
90842508670,727001.96,1,4524257985
34610891916,206617.51,2,6412054851
88569009487,847125.22,2,4808875242
48043625975,104541.1,2,6556635906
29091353996,453354.16,3,7789545526
35304735962,249925.79,4,4850012133
12264501938,350591.50,2,2033062052
50411416202,706512.15,3,7545418916
27799519318,908514.2,4,8819070501
82327789245,986655.36,1,9310986098
67976755871,342646.86,4,7994790411
57533906634,871524.57,1,1542632088
97006387257,909016.66,1,8912586176
47336714873,307905.90,1,3983814538
60464502065,87143.2,3,5346825961
90700234539,338087.9,2,9985622838
72638270645,720431.91,4,9110310601
67461375728,991247.67,2,3278012156
91673007970,571145.82,2,5075948553
82693387021,995.80,3,3871343193
12968028832,224724.25,4,1006484801
23005994512,295452.20,2,7984618514
38266439464,893496.57,1,7231058473
44349946084,43961.19,2,8212951868
46734209745,292322.24,1,7417668539
42226687196,513351.79,2,1442381123
56896745002,293697.68,2,7426794450
74598246664,926258.27,2,9799036588
33035661780,795620.90,2,1186918810
15731392378,439630.0,4,3182504297
10617277833,279191.78,3,9916026668
68433039472,358508.66,3,4539022680
71764870306,237823.45,3,3939098312
66553257402,613310.27,1,6777373878
70239273559,380052.9,4,1744840970
72692434604,855589.95,3,4172018823
40093279060,662337.1,3,1807223977
11581238363,735753.67,2,1185042453
62986318002,888674.39,3,1773780663
96228443694,661648.87,4,6799436679
12446146486,955535.48,3,5272673199
93386717638,961740.9,3,3939666075
75617503218,81246.48,4,9863455553
99318435396,878538.14,4,5816964942
88894461379,546922.88,1,4567440957
44389223546,828046.15,3,1833589119
47497623132,494993.35,3,7387254426
70134419280,83863.27,1,9483027566
51356917282,732365.64,2,9724369787
68094238837,541430.78,3,1738840195
15698582236,30853.15,2,2377757171
48795001004,228822.49,3,7217500696
96002834482,381997.40,2,5183296657
14796928129,194843.9,2,8860936853
25270637946,573549.94,4,9019319962
96136065702,256821.28,4,1778372666
46524056387,837033.7,3,6261301837
33834709446,344884.44,4,6592916921
89191898741,427802.47,2,1828246036
32060504268,132343.36,2,8070507963
52272381633,12798.3,3,1045365520
83892731045,29967.75,4,3860554644
13693406068,577199.72,2,3948053958
83651773806,234755.86,2,6763902908
72485537130,547551.88,3,5973400966
56114580386,626408.36,3,9164841122
99150515091,203170.9,3,4139261085
35076264644,509007.85,1,6586989643
96036860390,789699.93,3,5512999019
24666765286,737189.14,4,9304361528
44288844782,584430.18,3,9186845348
76808675729,239990.72,3,2279633619
25649757880,207174.97,2,1782686632
67504985913,237257.86,2,9107835839
33578516644,338816.95,1,3891123956
46524258557,476655.90,3,9758143187
26158988643,56406.16,4,8312286181
52131612140,68736.93,2,4857386791
41791394208,314468.15,1,1607345019
26330799030,618168.62,4,8875321344
98596664709,810122.0,2,5308504450
43813070029,121935.14,4,6203815245
46716136070,389879.98,1,8867658328
38942526047,495338.88,4,7501926529
22306965723,913554.56,1,9325774569
26135299628,956567.51,4,6000586802
19910716852,827845.29,2,4475285449
53798134026,567741.18,2,2276719807
10904706053,256886.70,2,5818100584
55489981065,776128.94,1,3447151964
48374460840,414601.89,4,9790127913
88587063720,213836.74,1,2267127732
19342605528,556149.61,4,3769080673
46506151222,991250.56,1,1482320061
12516388043,173594.14,4,4507814814
29590856212,39936.10,4,8778197083
64653506481,296226.64,1,5980118624
17627281953,576001.18,3,7052722953
27012179509,462136.56,2,7195398810
14493062693,748277.68,4,8276831928
74486303089,916026.98,2,4805108902
42224023171,243760.6,4,1805819175
61746408716,521107.54,3,4639055026
60072273828,301431.26,3,6169046370
76892081466,815822.2,3,6450575199
67736484423,906779.6,4,5214909384
41288791777,679684.59,1,9938262924
70695950731,524235.19,2,7091772482
58564402420,120675.36,2,7285823019
95967061632,394617.76,1,7378589000
38863868432,456122.41,3,2365807316
28503246072,146062.68,2,8681088121
44313751409,20667.60,2,5627649886
50136960971,754924.86,4,3114380187
30526700715,294640.96,2,7285823019
31530932289,449880.41,1,4035215877
82189881840,262390.39,3,2358391534
30456730525,350140.47,1,9641737752
15302213368,393213.98,1,5852329933
31212358606,515850.58,2,1327732457
69929181748,859075.44,1,3448696029
67723729874,514173.89,2,4252984394
11493429987,486268.3,4,1801336297
60954093062,199096.93,4,5980118624
78194254950,556680.82,3,4847879218
59446072255,541205.22,3,2879964492
73832213452,493639.87,1,5082641893
51410331821,548607.25,3,3769080673
84959888912,420548.77,4,8689819144
34251577438,445712.80,4,1282988950
59797003864,305867.8,3,1245476032
19173724947,589637.41,2,8396889714
41864298624,157901.42,2,6963289406
23013791741,408479.22,1,7937920062
53360345940,387057.40,4,9561166785
57808108161,887634.15,2,6526167251
51679992270,868482.56,1,8048456389
94208065773,60008.96,1,4272251545
89694310391,843285.72,2,4243017578
52435569214,695771.33,2,6660563973
65418114865,456540.79,4,9005501006
56250718850,594888.16,3,8154006280
65342512081,751729.12,4,5050938092
62375006713,962434.60,4,1027433203
52783442152,575066.77,2,9871485441
71917086420,169682.59,2,1658600961
