account,card_number
73962837947,2873083498725124
99877044813,5288690126419711
74924170432,6602551383829132
83864931386,3189041083963678
54513395109,5513371551457865
87821015966,4478273078773163
29606968205,1725526450950667
61462664900,8827044792512780
81392204980,7753029656259117
11804342226,4874784122908615
24794122016,2802979908061809
77548768623,4302153548959130
19027911584,4100900094679621
53607824695,8047807663081384
59526558842,8086444195223898
89812175891,3061182406471741
47502508705,6244978439700605
82087337372,5791243040940079
72859573184,9788056721184342
68953234520,7811966325862316
50423311795,8784369998159415
82267789733,9019213995730384
43520237036,8376816814805110
21228348724,7470019993747583
20582639778,4869182650842857
54990065131,8638975631058187
65557720067,8415233692561818
15150871196,8176350056838694
26455785543,5341989261454752
12767471095,7463229327653323
57734165724,8604731495732519
69455216042,2088856100320985
59324336888,5557076536551824
28695978451,7029045352429568
32276147404,2918029212905622
69598303065,6765978969830033
63108804450,3659371222003531
66444132758,1126520777074255
59284770818,3520810616133198
15051106591,5216710819783316
98372810061,3104947420529648
83651855366,5635557139109019
89647383439,9311082583655607
56412902740,1578729384849828
72650697746,7658054224824679
37853634156,6563262901620578
31258058365,6255608076814241
55964289051,1158898542396073
98175852609,9627975499106035
39424604248,3699537600184067
25272617697,5743396919465351
97252842380,4165540753744193
81779084702,4632544844793556
37364759632,9943778330524833
13796828219,2378359814254330
71569301182,8717867372324570
20214872842,6606468597503819
12456707373,6056711384342406
55765238019,9517272167055970
96887655695,3871415108440831
45161775731,4027039035527770
70346720552,6310938028022656
95276114113,5441221212252161
14395044371,9315621800232651
27009291313,1788145932187452
21493702247,4895496782505633
48380170885,6815776482811248
14948230635,7548317703566366
37699840087,2100764304792922
86998155721,5420231728498333
22103554043,5817346771547578
48403586692,3924187011725151
42599805976,2948322419876820
56830530706,8737248087712691
14240094061,8083989875213331
10381792428,1647969430455355
86716519658,3757296179592938
62761094575,7669777064437722
37531947701,2256447405946470
81774936593,1899404434387764
46677872546,9723502840516168
48113579569,2586112453160517
81403599534,2355987756664651
15296314514,1921966482589818
17327046330,1875265042258796
98649905057,4613073225108847
25891316297,6102664265878736
18231633928,5106287469882404
79873712623,7683625532917647
36573443452,9817851545695896
45878574571,4988793542737436
31340581971,6785392718335117
84305356359,3384676738977207
43757909425,1422289247511497
53445919474,9248884925729240
66385107916,5241625358948810
79318455190,2912881679302935
29472721645,9315392012373259
71747020650,6823752140597350
14567141902,6557927838165518
21867916406,8807132527916606
95475479755,3652908024494264
33105619459,7423806358646806
36429211492,1087207522698836
56627096854,3527528751807926
28878516827,7295357750248491
53556603342,6542106286639596
41895720947,5943400419042821
88935596164,5186682456801339
44900868715,4977077833226286
96085087867,3631890672674092
39241807191,9701428354601636
40578755655,4196345602104446
50802650608,1271790815854638
73626730967,3464250857053542
56954139367,5718013908426787
86014121768,6803895985436789
76418859081,7465099793696290
73404389329,4205286757613398
49565441912,6774165825989840
97222410251,1847744486782125
57213252316,9702634615627413
64475413412,3030931907886888
96712779625,3990596343732181
24345867571,9179802815204444
71596639251,1891217945590268
77965446098,5119436090373126
45669272045,8205509954982498
57666740265,6663054882073207
55679466147,3906430870706456
61081941501,3525367379661586
25354571404,1395357188177289
64661707149,3247490709674497
75865211396,9819857228063385
87725691433,1693732218096032
35391440948,9484464505289268
15573533740,1459907113546472
34924346932,5436760328748317
41451540440,3100892206512842
45582953704,6212088375524198
67614726297,8928707178321449
37439954143,5531356273131616
37478122882,6367009940674566
29369389641,1537831201974037
67212685279,8297670571681351
49114844777,3392176363606003
80262775546,4493047739149105
77347882277,4278869782305711
60556743903,2248918180333646
31930874795,1415163119955370
68834223848,6064450408917042
31148436519,7731927165178565
58219027125,7687606321300841
57132006498,2582910210968338
72951454010,7693673368816091
14056221025,3229598935947153
78110960498,2653296831787521
90527548769,7650996463956088
25964178277,1682509501277316
35714483541,4187974713782918
73063422248,7169001068606972
61992746621,3827273447000870
52666515362,7569816020724480
78919397400,2550664259422237
44485964576,1450593189854671
87541736822,4344338726770062
64327577586,3233226474697264
50724052606,6459952094040957
58269079301,6759725256716772
83396615687,5006671788583160
44652375149,9044003906839617
18959281845,4704932565029646
95560404718,7323251384549910
27469080480,2976951319485373
15941001009,6689331588348232
19559843203,9532441661534138
85350077269,6704141546629529
86577420829,7387263038250897
55913213353,5695044387981224
42288359185,7861960249756897
49715954559,7197948484679452
22072487515,3494502537297553
57738297546,6522098527491832
63161745822,5745066914610413
36229212006,8299992421834006
52758787917,4398328159922348
35630363647,8519066540994840
55145780110,4619910902011779
50255417853,4783984293674044
73644012936,5789658897658416
73615000373,7456401600372687
93751737446,4597336373978656
57093336378,5276687608725095
41782320440,8899129724973778
93283535855,9376296972597051
17354316953,8519599320542263
54343601898,2635690444153168
49668598679,6010227466818497
46284269980,8685124549457731
28454726903,4898294837473849
47808782457,5349880616483151
22417721041,5679421886496073
47709614471,2601642394957002
59744572774,1176695697887871
69239433081,4868127290023167
20083449220,4330607922387413
42226885324,4539226229039883
78199553089,5501176906252031
65496615306,6636915515442536
65821031410,8747903716971796
46513555467,7144807738992198
68319914903,1294762125147278
73832714819,7812788660257744
36907019641,4287002310187976
66298660468,4092799209730133
43889622074,4930576131766424
20011115406,9935625734571430
80123072841,9636738409582656
60367797176,7478457183569602
63715502761,8181617192990334
19352840419,1413938726072272
18401260537,6935246032907479
98076357283,6167852302260890
32771924885,2364494771365071
34608068978,7087277312251855
85017427594,8729318008904234
70733224116,5546931317709038
10754915234,4775602927788531
25244987577,2611710691924370
76756023063,1648781666310143
91120269331,5810678915319262
37764734076,4366732851602851
55686133318,9064709222750557
84497318337,1200618814756014
95106211314,6997438853893453
48797892892,6315939264532950
65129269122,7269069074245733
37289413652,7073556107839520
51924157171,6873146761882809
98016268057,7604949512973979
62372131682,3883859436556993
97480886024,8722787732404434
33218767894,2090320022023448
27015281653,3547636951064058
30873823974,3707119871336021
26912180920,6697658860884353
29212447688,9426531408932592
74098627901,2126943627963187
25100111082,6375334539895959
72755254192,2188880078893021
58179015238,5625251168672923
48340554849,3426177219151115
79826511372,5304727605819113
25799088727,8787905831747231
86448108778,2934002257854682
11585279343,8409400292920202
57490905666,2605652063802469
